,motorSelectiveStop,stopSignal,discountFix,stroop,CCTHot,WATT3,DPX,twoByTwo
crit_stop_failure-crit_go,1.169023957,,,,,,,
crit_stop_failure-noncrit_signal,1.162566901,,,,,,,
response_time,1.672370661,1.530944591,1.313952197,1.433361843,,,1.672767706,1.662817258
crit_go,1.810185742,,,,,,,
crit_go_derivative,3.64770977,,,,,,,
crit_stop_success,1.376954457,,,,,,,
crit_stop_success_derivative,2.115050877,,,,,,,
crit_stop_failure,1.354696867,,,,,,,
crit_stop_failure_derivative,2.075748018,,,,,,,
noncrit_signal,1.576667489,,,,,,,
noncrit_signal_derivative,2.859838148,,,,,,,
noncrit_nosignal,1.737779576,,,,,,,
noncrit_nosignal_derivative,3.610801113,,,,,,,
too_fast,1.231360394,,1.288406495,3.452139699,,,1.356577715,1.776462527
too_fast_derivative,1.131663058,,1.072162099,1.850699114,,,1.177931612,1.237089848
commission,1.714092465,1.286793784,,1.384575347,,,1.86960137,1.671835793
commission_derivative,1.527078047,1.464560358,,2.01176934,,,1.427489396,2.672624863
omission,1.957851733,1.291292269,,2.40237995,,,3.098758648,1.468387533
omission_derivative,1.624202188,1.394965172,,2.896761451,,,1.620083944,1.575663326
cosine00,1.158512213,1.277349635,1.177010553,1.315088141,1.198257771,1.544019211,1.108933891,1.100338776
cosine01,1.078426428,1.136030125,1.111854414,1.419203293,1.146815054,1.800618322,1.08051357,1.059173432
cosine02,1.07419568,1.144977015,1.107497491,,1.140539126,1.295723363,1.057534568,1.067729192
cosine03,1.078033603,1.113952947,1.177714103,,1.267596057,1.525932866,1.054168006,1.044006847
cosine04,1.061586694,,1.065483348,,1.125449811,1.175548243,1.055627597,1.149332943
cosine05,1.058286726,,1.066344262,,1.145210063,1.342664898,1.056903887,1.597199707
cosine06,1.074607935,,1.067131039,,1.163455027,1.139663892,1.067069974,1.106657649
cosine07,1.075498581,,1.129946902,,1.374610563,1.17228903,1.275382876,1.041433942
cosine08,1.086742951,,1.039742923,,1.160441707,1.069393933,1.050937516,1.062350813
response_time_derivative,1.447196793,1.173690032,1.078403613,1.247973668,,,1.403453952,1.558870546
constant,0,0,0,0,0,0,0,0
non_steady_state_outlier00,1.010721986,1.01506979,1.019852735,1.039844749,1.023061857,1.014973565,1.015155517,1.017887798
non_steady_state_outlier01,1.010721986,1.015132201,1.020030868,1.042496548,1.022386654,1.012878371,1.014369723,1.018365511
non_steady_state_outlier02,1.011071144,1.015132201,1.020030868,1.046955858,,1.012878371,1.014656226,1.018365511
non_steady_state_outlier03,1.011071144,1.014986587,1.021137788,1.046955858,,1.012603819,,1.017804311
non_steady_state_outlier04,1.011071144,1.015061263,1.021137788,1.040882821,,1.012603819,,1.018614512
stop_success-go,,1.169242339,,,,,,
stop_failure-go,,1.252410229,,,,,,
go,,1.653089465,,,,,,
go_derivative,,3.669418895,,,,,,
stop_success,,1.45311759,,,,,,
stop_success_derivative,,2.725613618,,,,,,
stop_failure,,1.443434344,,,,,,
stop_failure_derivative,,2.700372191,,,,,,
non_steady_state_outlier05,,1.015035485,1.021114368,1.04088259,,1.012603819,,1.02074351
non_steady_state_outlier06,,1.015030071,1.020658941,,,1.012603819,,
non_steady_state_outlier07,,1.019604521,1.020789987,,,,,
task,,,inf,,1.8254754,,,
task_derivative,,,inf,,1.099117211,,,
choice,,,inf,,,,,
choice_derivative,,,inf,,,,,
non_steady_state_outlier08,,,1.022600991,,,,,
non_steady_state_outlier09,,,1.019589563,,,,,
cosine09,,,1.034665359,,1.185674283,,1.050091655,
congruent,,,,2.173508546,,,,
congruent_derivative,,,,6.961726563,,,,
incongruent,,,,2.192527418,,,,
incongruent_derivative,,,,7.042508414,,,,
incongruent - congruent,,,,1.272510047,,,,
positive_draw,,,,,1.487941368,,,
positive_draw_derivative,,,,,1.213643993,,,
negative_draw,,,,,4.245862347,,,
negative_draw_derivative,,,,,2.31577402,,,
trial_gain,,,,,1.648472634,,,
trial_gain_derivative,,,,,1.247151818,,,
trial_loss,,,,,4.22662278,,,
trial_loss_derivative,,,,,2.359853785,,,
planning_event,,,,,,3.520498068,,
planning_parametric,,,,,,7.179656561,,
acting_event,,,,,,15.19135538,,
acting_parametric,,,,,,7.166025323,,
feedback,,,,,,12.58332682,,
.5*planning_event + .5*acting_event,,,,,,10.17876592,,
.5*planning_parametric + .5*acting_parametric,,,,,,1.588709488,,
planning_event_derivative,,,,,,2.314016977,,
planning_parametric_derivative,,,,,,2.442336659,,
acting_event_derivative,,,,,,8.987701805,,
acting_parametric_derivative,,,,,,2.737715714,,
feedback_derivative,,,,,,6.835333344,,
acting_event_practice,,,,,,31.27081361,,
acting_event_practice_derivative,,,,,,5.819531881,,
acting_parametric_practice,,,,,,1.395344707,,
acting_parametric_practice_derivative,,,,,,1.162302004,,
feedback_practice,,,,,,32.18833518,,
feedback_practice_derivative,,,,,,3.337444853,,
AY-BY,,,,,,,1.391104842,
BX-BY,,,,,,,1.093132262,
AX,,,,,,,7.48225497,
AX_derivative,,,,,,,3.783071762,
AY,,,,,,,4.229145051,
AY_derivative,,,,,,,2.357570875,
BX,,,,,,,4.04201058,
BX_derivative,,,,,,,2.392905286,
BY,,,,,,,4.265919869,
BY_derivative,,,,,,,2.447887348,
cosine10,,,,,,,1.052348245,
task_switch_900,,,,,,,,2.816780845
task_switch_900_derivative,,,,,,,,5.825068596
task_stay_cue_switch_900,,,,,,,,2.203559918
task_stay_cue_switch_900_derivative,,,,,,,,3.794527485
cue_stay_900,,,,,,,,2.25159587
cue_stay_900_derivative,,,,,,,,3.861998046
task_switch_100,,,,,,,,2.219752122
task_switch_100_derivative,,,,,,,,4.626723883
task_stay_cue_switch_100,,,,,,,,1.735624766
task_stay_cue_switch_100_derivative,,,,,,,,3.035446619
cue_stay_100,,,,,,,,1.801071572
cue_stay_100_derivative,,,,,,,,3.097858362
task_switch_900-task_stay_cue_switch_900,,,,,,,,1.27802696
task_stay_cue_switch_900-cue_stay_900,,,,,,,,1.238654952
task_switch_100-task_stay_cue_switch_100,,,,,,,,1.288276633
task_stay_cue_switch_100-cue_stay_100,,,,,,,,1.235407919